,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Surf Mesa,Carried Away (Love To Love) (with Madison Beer),4IvuPZogXbY7LODs7qzr0W,68,0.518,0.683,1,-5.295,1,0.0364,0.346,0.0,0.311,0.304,141.971,182654,4
1,Mr.Kitty,After Dark,2LKOHdMsL0K9KwcPRlJK2v,82,0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,259147,4
2,Khalid,Better,4T3fNx3CgwDRRYgmFCbD4J,74,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,229413,4
3,Taylor Swift,Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,86,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433,4
4,CKay,love nwantiti (ah ah ah),2Xr1dTzJee307rmrkt8c0g,93,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,4
5,Kehlani,Altar,501mFwKeLnybf8JO3XL66O,73,0.554,0.854,9,-3.313,1,0.149,0.068,0.00285,0.166,0.797,83.823,243091,4
6,Rihanna,Sex With Me,7BiELrM90hRxpozaIXbsLw,75,0.58,0.532,1,-5.668,0,0.0424,0.294,0.0,0.0948,0.39,112.049,206400,4
7,NEL,In Case You Change Your Mind,0qnnEX0D8Vzx4URbx0nlKJ,5,0.69,0.182,5,-14.243,1,0.0891,0.717,0.0266,0.113,0.393,107.841,208965,4
8,Skrillex,Don’t Go (with Justin Bieber & Don Toliver),55sgQENF3LY1sUcJUwasLl,75,0.689,0.695,11,-5.22,1,0.0429,0.019,0.0,0.123,0.359,75.05,168253,4
9,WizKid,Essence (feat. Justin Bieber & Tems),1mSdbey7RstGLY2udgXv74,75,0.835,0.691,0,-5.828,1,0.113,0.0159,1.44e-05,0.108,0.581,103.999,263289,4
10,Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,92,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3
11,Billie Eilish,NDA,38GBNKZUhfBkk3oNlWzRYd,79,0.765,0.373,8,-9.921,1,0.0713,0.341,0.525,0.112,0.554,85.016,195777,4
12,Normani,Wild Side (feat. Cardi B),2vXgyN14LX2zl7JEASw242,81,0.74,0.576,6,-6.744,0,0.146,0.0249,0.0,0.104,0.315,110.095,209476,4
13,CKay,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4gvrJnKCKIPiacNsWVQwEU,91,0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,188369,3
14,Drake,Can I,3e0ZGE7Gp034iLknjQk4QW,69,0.643,0.178,4,-8.56,0,0.0588,0.484,0.0108,0.122,0.0674,85.042,189289,4
15,Patrice Rushen,Forget Me Nots - Single Version,6hGBWw0Pv1oe8uYCVXz1yK,31,0.887,0.487,6,-7.738,0,0.0391,0.184,0.119,0.0774,0.933,114.036,244867,4
16,Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,88,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4
17,MAZLIK,We Unite,2KRVjE0iQtwVOPhLeKg8Q6,41,0.692,0.803,10,-6.408,1,0.0941,0.0036,2.51e-06,0.114,0.317,132.988,148872,4
18,The Kid LAROI,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,92,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4
19,Aaron Smith,Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,80,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,198053,4
20,L.Dre,Steven Universe,7zkA4TSmYO1Bko2PnFn0YB,67,0.676,0.0674,7,-13.899,1,0.0703,0.841,0.942,0.121,0.214,77.037,134026,4
21,Just Mike,Get out My Head,00Kuv7O7ThQoe1IvTwjfQC,37,0.743,0.84,0,-6.368,1,0.157,0.0929,1.05e-06,0.306,0.687,125.053,144960,4
22,"Earth, Wind & Fire",Let's Groove,3koCCeSaVUyrRo3N2gHrd8,83,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320,4
23,Crystal Rock,Broken Glass,0zH7pOLsYwovBegb5Pc3fX,24,0.702,0.884,7,-3.596,1,0.0778,0.0728,2.83e-05,0.409,0.31,128.029,170000,4
24,Ava Max,Kings & Queens,7a53HqqArd4b9NF4XAmlbI,84,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,162399,4
25,SAINt JHN,Roses - Imanbek Remix,24Yi9hE78yPEbZ4kxyoXAI,84,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840,4
26,Topic,Breaking Me,3H7ihDc1dqLriiWXwsc2po,83,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,166794,4
27,AURORA,Runaway,4rXsapBjwYiYffFPW7G4zr,61,0.422,0.302,11,-9.214,1,0.0372,0.629,7.83e-05,0.104,0.123,114.089,248827,4
28,Mitski,Nobody,2P5yIMu2DNeMXTyOANKS6k,80,0.398,0.717,0,-5.253,1,0.0398,0.07,0.0,0.085,0.487,117.296,193429,4
29,Freischwimmer,Helium,0wLx3ttq4gC9ppx5JGizhK,0,0.615,0.788,6,-5.563,1,0.0411,0.168,4.25e-06,0.625,0.566,121.948,169124,4
30,Jack Star,La La La,2W5qSjNmATwDs4v7c6oo2q,40,0.806,0.824,9,-4.427,1,0.0599,0.207,0.0,0.0873,0.403,123.983,205161,4
31,Axel Black & White,Somebody To Love,7AxA87dIJ1FF4l1BQ98ZCZ,68,0.52,0.907,1,-3.614,1,0.3,0.00373,5.28e-06,0.0906,0.219,132.046,141171,4
32,Glass Animals,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,90,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4
33,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,2Lhdl74nwwVGOE2Gv35QuK,81,0.72,0.744,1,-6.938,0,0.12,0.237,0.0,0.255,0.619,78.953,243773,4
34,Cardi B,Up,1M4OcYkxAtu3ErzSgDEfoi,76,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,156945,4
35,David Guetta,If You Really Love Me (How Will I Know) - David Guetta & MORTEN Future Rave Remix,3nEzV79g4ArcHDmYr2cjbD,52,0.634,0.984,4,-2.751,0,0.0545,0.606,0.00168,0.232,0.802,126.977,160630,4
36,Superfruit,GUY.exe,3JTjLyrnevl9ASw3ayGO2P,77,0.77,0.732,4,-4.601,0,0.0508,0.0305,0.0,0.157,0.889,110.011,222680,4
37,"Grover Washington, Jr.",Just the Two of Us (feat. Bill Withers),1ko2lVN0vKGUl9zrU0qSlT,82,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,438493,4
38,lityway,Für dich (feat. ille & MABU),2e9SUhfqprCWCWNXcZNjxP,66,0.794,0.545,8,-7.154,1,0.106,0.344,0.0,0.149,0.329,95.022,196908,4
39,KALUMA,Bleeding Love,1Qlba7cecWwXtP7XNg1zwd,42,0.805,0.702,7,-6.324,0,0.115,0.213,4.69e-05,0.0859,0.288,124.016,205166,4
40,Hippie Sabotage,Devil Eyes,7MiZjKawmXTsTNePyTfPyL,81,0.391,0.396,1,-8.621,0,0.189,0.702,0.405,0.315,0.199,99.112,131272,5
41,MAZLIK,Sacrifice,5l1y5uFgxUVKLMdRbKwuyl,31,0.736,0.69,8,-5.994,1,0.0581,0.145,2.05e-06,0.142,0.26,128.071,141562,4
42,The Weeknd,Take My Breath,6OGogr19zPTM4BALXuMQpF,84,0.748,0.74,8,-6.01,1,0.0484,0.0107,2.18e-05,0.101,0.518,121.004,220196,4
43,Crystal Rock,Afterglow,5IoujrnF52FF4yTxwpkCmb,42,0.666,0.889,11,-3.852,1,0.104,0.0306,3.66e-05,0.16,0.459,128.043,159416,4
44,Crystal Rock,Better Days,1XLr45WeWmqBM9VYwXziVx,31,0.723,0.778,5,-6.188,1,0.0299,0.207,0.0,0.15,0.511,110.036,146182,4
45,Crystal Rock,Good 4 U,1kL2GRaHyHh7tNwQ0WFLrn,47,0.704,0.945,6,-2.431,0,0.143,0.0878,0.0,0.384,0.236,104.988,170723,4
46,Oliver Tree,Life Goes On,0eu4C55hL6x29mmeAjytzC,90,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,161803,4
47,Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,95,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4
48,Crystal Rock,Hypnotized,6l4aAgffkIQeIoGr5Ze52v,58,0.65,0.892,2,-5.606,1,0.153,0.0226,8.34e-06,0.317,0.505,126.128,160000,4
