,endTime,artistName,trackName,msPlayed
0,2021-10-02 20:31,Surf Mesa,Carried Away (Love To Love) (with Madison Beer),182629
1,2021-10-03 07:33,Mr.Kitty,After Dark,116403
2,2021-10-03 07:33,Khalid,Better,1493
3,2021-10-03 07:37,Khalid,Better,228583
4,2021-10-03 07:41,Khalid,Better,229275
5,2021-10-03 07:44,Khalid,Better,194119
6,2021-10-03 07:48,Taylor Swift,Wildest Dreams (Taylor's Version),220390
7,2021-10-03 07:51,Taylor Swift,Wildest Dreams (Taylor's Version),220390
8,2021-10-03 07:55,Taylor Swift,Wildest Dreams (Taylor's Version),220390
9,2021-10-03 08:22,CKay,love nwantiti (ah ah ah),2560
10,2021-10-03 08:22,Taylor Swift,Wildest Dreams (Taylor's Version),112723
11,2021-10-03 08:25,CKay,love nwantiti (ah ah ah),143815
12,2021-10-03 08:28,Kehlani,Altar,222765
13,2021-10-03 08:32,Rihanna,Sex With Me,206360
14,2021-10-03 08:34,CKay,love nwantiti (ah ah ah),145776
15,2021-10-03 08:38,Kehlani,Altar,243062
16,2021-10-03 08:41,Surf Mesa,Carried Away (Love To Love) (with Madison Beer),182629
17,2021-10-03 08:46,Mr.Kitty,After Dark,257121
18,2021-10-03 08:49,NEL,In Case You Change Your Mind,208937
19,2021-10-03 08:52,Skrillex,Don’t Go (with Justin Bieber & Don Toliver),168221
20,2021-10-03 08:56,WizKid,Essence (feat. Justin Bieber & Tems),263243
21,2021-10-03 09:01,Billie Eilish,Happier Than Ever,298874
22,2021-10-03 09:05,Billie Eilish,NDA,195773
23,2021-10-03 09:53,CKay,love nwantiti (ah ah ah),1813
24,2021-10-03 09:53,Normani,Wild Side (feat. Cardi B),160576
25,2021-10-03 09:53,Rihanna,Sex With Me,576
26,2021-10-03 09:55,CKay,love nwantiti (ah ah ah),144462
27,2021-10-03 11:05,CKay,love nwantiti (ah ah ah),1770
28,2021-10-03 11:05,Rihanna,Sex With Me,143301
29,2021-10-03 11:07,CKay,love nwantiti (ah ah ah),144728
30,2021-10-03 11:11,Kehlani,Altar,243062
31,2021-10-03 11:14,Surf Mesa,Carried Away (Love To Love) (with Madison Beer),182629
32,2021-10-03 11:19,Mr.Kitty,After Dark,257121
33,2021-10-03 11:22,NEL,In Case You Change Your Mind,208937
34,2021-10-03 11:56,Skrillex,Don’t Go (with Justin Bieber & Don Toliver),117260
35,2021-10-03 14:16,Skrillex,Don’t Go (with Justin Bieber & Don Toliver),2986
36,2021-10-03 14:16,CKay,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,4010
37,2021-10-03 14:17,CKay,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,22069
38,2021-10-03 14:19,CKay,love nwantiti (ah ah ah),145776
39,2021-10-03 14:23,Kehlani,Altar,243062
40,2021-10-03 14:26,Surf Mesa,Carried Away (Love To Love) (with Madison Beer),182629
41,2021-10-03 14:30,Mr.Kitty,After Dark,220596
42,2021-10-03 14:31,Mr.Kitty,After Dark,37540
43,2021-10-03 14:33,NEL,In Case You Change Your Mind,138539
44,2021-10-03 14:36,Skrillex,Don’t Go (with Justin Bieber & Don Toliver),168253
45,2021-10-03 17:04,WizKid,Essence (feat. Justin Bieber & Tems),49776
46,2021-10-03 17:06,CKay,love nwantiti (ah ah ah),145800
47,2021-10-03 17:10,Kehlani,Altar,243090
48,2021-10-03 17:14,Surf Mesa,Carried Away (Love To Love) (with Madison Beer),182653
49,2021-10-03 17:18,Mr.Kitty,After Dark,257147
50,2021-10-03 17:20,NEL,In Case You Change Your Mind,99168
51,2021-10-03 17:22,CKay,love nwantiti (ah ah ah),145800
52,2021-10-03 17:26,Kehlani,Altar,243090
53,2021-10-03 17:27,Surf Mesa,Carried Away (Love To Love) (with Madison Beer),89549
54,2021-10-03 17:28,CKay,love nwantiti (ah ah ah),430
